3000 5996
1 2 1
1 3 1
1 4 1
1 6 1
1 8 1
1 10 1
1 11 1
1 12 1
1 14 1
1 15 1
1 18 1
1 19 1
1 20 1
1 21 1
1 23 1
1 24 1
1 26 1
1 29 1
1 33 1
1 37 1
1 39 1
1 45 1
1 46 1
1 48 1
1 51 1
1 58 1
1 61 1
1 62 1
1 69 1
1 72 1
1 78 1
1 79 1
1 87 1
1 89 1
1 92 1
1 99 1
1 104 1
1 108 1
1 111 1
1 117 1
1 119 1
1 123 1
1 131 1
1 140 1
1 141 1
1 202 1
1 235 1
1 241 1
1 242 1
1 256 1
1 268 1
1 269 1
1 272 1
1 285 1
1 290 1
1 305 1
1 319 1
1 326 1
1 353 1
1 368 1
1 383 1
1 385 1
1 392 1
1 399 1
1 435 1
1 471 1
1 511 1
1 515 1
1 531 1
1 542 1
1 562 1
1 619 1
1 622 1
1 629 1
1 683 1
1 685 1
1 792 1
1 855 1
1 898 1
1 913 1
1 943 1
1 947 1
1 948 1
1 991 1
1 1013 1
1 1017 1
1 1024 1
1 1064 1
1 1102 1
1 1114 1
1 1150 1
1 1170 1
1 1180 1
1 1185 1
1 1217 1
1 1232 1
1 1264 1
1 1291 1
1 1294 1
1 1322 1
1 1353 1
1 1425 1
1 1441 1
1 1477 1
1 1552 1
1 1623 1
1 1627 1
1 1651 1
1 1737 1
1 1812 1
1 1815 1
1 1843 1
1 1878 1
1 2040 1
1 2065 1
1 2113 1
1 2157 1
1 2158 1
1 2164 1
1 2171 1
1 2241 1
1 2252 1
1 2299 1
1 2317 1
1 2340 1
1 2397 1
1 2401 1
1 2487 1
1 2506 1
1 2513 1
1 2517 1
1 2522 1
1 2537 1
1 2681 1
1 2758 1
1 2800 1
1 2812 1
1 2871 1
1 2894 1
1 2899 1
1 2930 1
1 2933 1
1 2936 1
1 2937 1
1 2940 1
1 2948 1
1 2973 1
1 2992 1
2 4 1
2 5 1
2 7 1
2 8 1
2 9 1
2 16 1
2 18 1
2 22 1
2 28 1
2 29 1
2 44 1
2 46 1
2 50 1
2 66 1
2 68 1
2 76 1
2 79 1
2 98 1
2 100 1
2 107 1
2 113 1
2 126 1
2 134 1
2 138 1
2 141 1
2 142 1
2 144 1
2 157 1
2 176 1
2 178 1
2 190 1
2 196 1
2 197 1
2 200 1
2 205 1
2 211 1
2 213 1
2 233 1
2 252 1
2 254 1
2 266 1
2 268 1
2 276 1
2 299 1
2 305 1
2 307 1
2 354 1
2 359 1
2 381 1
2 402 1
2 426 1
2 446 1
2 454 1
2 476 1
2 478 1
2 485 1
2 492 1
2 511 1
2 531 1
2 561 1
2 610 1
2 665 1
2 682 1
2 689 1
2 731 1
2 797 1
2 810 1
2 826 1
2 832 1
2 896 1
2 909 1
2 937 1
2 949 1
2 978 1
2 979 1
2 1077 1
2 1137 1
2 1143 1
2 1239 1
2 1246 1
2 1305 1
2 1309 1
2 1349 1
2 1355 1
2 1416 1
2 1418 1
2 1423 1
2 1451 1
2 1472 1
2 1510 1
2 1572 1
2 1601 1
2 1618 1
2 1647 1
2 1654 1
2 1671 1
2 1760 1
2 1776 1
2 1805 1
2 1844 1
2 1890 1
2 1906 1
2 1918 1
2 1929 1
2 1947 1
2 1951 1
2 1953 1
2 1955 1
2 2007 1
2 2012 1
2 2064 1
2 2113 1
2 2146 1
2 2158 1
2 2182 1
2 2246 1
2 2284 1
2 2290 1
2 2329 1
2 2355 1
2 2401 1
2 2410 1
2 2464 1
2 2492 1
2 2501 1
2 2600 1
2 2614 1
2 2616 1
2 2636 1
2 2668 1
2 2669 1
2 2674 1
2 2784 1
2 2799 1
2 2813 1
3 5 1
3 17 1
3 42 1
3 58 1
3 80 1
3 103 1
3 167 1
3 176 1
3 193 1
3 199 1
3 239 1
3 358 1
3 541 1
3 952 1
3 971 1
3 1512 1
3 1693 1
3 1904 1
3 2212 1
3 2317 1
3 2376 1
3 2562 1
3 2623 1
3 2629 1
4 9 1
4 218 1
4 315 1
4 373 1
4 374 1
4 442 1
4 468 1
4 493 1
4 533 1
4 699 1
4 754 1
4 999 1
4 1400 1
4 2783 1
5 6 1
5 7 1
5 13 1
5 14 1
5 16 1
5 17 1
5 19 1
5 20 1
5 24 1
5 31 1
5 37 1
5 41 1
5 54 1
5 63 1
5 65 1
5 70 1
5 75 1
5 81 1
5 84 1
5 87 1
5 88 1
5 94 1
5 100 1
5 103 1
5 115 1
5 118 1
5 155 1
5 158 1
5 175 1
5 181 1
5 193 1
5 195 1
5 201 1
5 208 1
5 219 1
5 228 1
5 250 1
5 254 1
5 287 1
5 289 1
5 298 1
5 317 1
5 327 1
5 378 1
5 391 1
5 406 1
5 441 1
5 450 1
5 464 1
5 525 1
5 554 1
5 556 1
5 578 1
5 635 1
5 648 1
5 653 1
5 658 1
5 677 1
5 679 1
5 686 1
5 698 1
5 719 1
5 730 1
5 805 1
5 809 1
5 817 1
5 986 1
5 1114 1
5 1135 1
5 1173 1
5 1220 1
5 1228 1
5 1229 1
5 1368 1
5 1414 1
5 1429 1
5 1536 1
5 1685 1
5 1699 1
5 1798 1
5 1813 1
5 1826 1
5 1844 1
5 1889 1
5 1901 1
5 1914 1
5 1935 1
5 1954 1
5 1992 1
5 2009 1
5 2019 1
5 2028 1
5 2067 1
5 2083 1
5 2221 1
5 2245 1
5 2310 1
5 2324 1
5 2348 1
5 2418 1
5 2419 1
5 2424 1
5 2427 1
5 2469 1
5 2527 1
5 2529 1
5 2785 1
5 2830 1
5 2953 1
6 12 1
6 13 1
6 23 1
6 25 1
6 31 1
6 34 1
6 35 1
6 40 1
6 43 1
6 63 1
6 68 1
6 136 1
6 328 1
6 348 1
6 508 1
6 610 1
6 758 1
6 779 1
6 866 1
6 1112 1
6 1331 1
6 1379 1
6 1426 1
6 1465 1
6 1525 1
6 2045 1
6 2523 1
6 2707 1
6 2824 1
6 2910 1
6 2976 1
7 10 1
7 30 1
7 32 1
7 38 1
7 51 1
7 56 1
7 61 1
7 83 1
7 102 1
7 106 1
7 111 1
7 116 1
7 134 1
7 144 1
7 149 1
7 155 1
7 162 1
7 183 1
7 192 1
7 204 1
7 232 1
7 249 1
7 304 1
7 319 1
7 337 1
7 357 1
7 371 1
7 398 1
7 407 1
7 409 1
7 417 1
7 432 1
7 448 1
7 453 1
7 465 1
7 473 1
7 617 1
7 618 1
7 716 1
7 752 1
7 767 1
7 810 1
7 848 1
7 903 1
7 960 1
7 1016 1
7 1071 1
7 1083 1
7 1101 1
7 1123 1
7 1154 1
7 1164 1
7 1310 1
7 1326 1
7 1348 1
7 1370 1
7 1415 1
7 1421 1
7 1444 1
7 1460 1
7 1537 1
7 1554 1
7 1597 1
7 1600 1
7 1626 1
7 1746 1
7 1761 1
7 1827 1
7 1962 1
7 1987 1
7 2100 1
7 2204 1
7 2285 1
7 2472 1
7 2545 1
7 2648 1
7 2693 1
7 2710 1
7 2815 1
7 2830 1
7 2997 1
8 60 1
8 130 1
8 587 1
8 1001 1
8 1005 1
8 1632 1
8 1725 1
8 2267 1
8 2658 1
9 11 1
9 15 1
9 21 1
9 27 1
9 118 1
9 122 1
9 279 1
9 491 1
9 505 1
9 612 1
9 701 1
9 1121 1
9 1641 1
9 1946 1
9 2323 1
9 2539 1
10 105 1
10 125 1
10 150 1
10 235 1
10 348 1
10 350 1
10 418 1
10 483 1
10 513 1
10 570 1
10 717 1
10 784 1
10 789 1
10 840 1
10 998 1
10 1070 1
10 1211 1
10 1473 1
10 1515 1
10 1517 1
10 1599 1
10 1814 1
10 1986 1
10 2007 1
10 2552 1
10 2951 1
11 33 1
11 52 1
11 59 1
11 86 1
11 96 1
11 106 1
11 109 1
11 122 1
11 207 1
11 234 1
11 407 1
11 520 1
11 634 1
11 646 1
11 725 1
11 736 1
11 783 1
11 831 1
11 885 1
11 932 1
11 1020 1
11 1054 1
11 1303 1
11 1560 1
11 1621 1
11 1740 1
11 1769 1
11 1991 1
11 2013 1
11 2112 1
11 2411 1
12 62 1
12 226 1
12 232 1
12 246 1
12 299 1
12 325 1
12 342 1
12 358 1
12 383 1
12 423 1
12 452 1
12 598 1
12 639 1
12 787 1
12 804 1
12 926 1
12 1063 1
12 1486 1
12 1588 1
12 1652 1
12 1932 1
12 1958 1
12 1988 1
12 2060 1
12 2071 1
12 2457 1
12 2664 1
12 2738 1
12 2776 1
13 38 1
13 85 1
13 206 1
13 345 1
13 390 1
13 1168 1
13 1231 1
13 1431 1
13 1498 1
13 1810 1
13 2137 1
13 2226 1
13 2236 1
13 2746 1
13 2766 1
13 2969 1
14 27 1
14 41 1
14 117 1
14 129 1
14 475 1
14 1289 1
14 1428 1
14 1802 1
14 2020 1
14 2021 1
15 124 1
15 135 1
15 150 1
15 281 1
15 395 1
15 562 1
15 791 1
15 1717 1
15 2254 1
15 2463 1
15 2570 1
16 47 1
16 48 1
16 74 1
16 119 1
16 128 1
16 132 1
16 143 1
16 189 1
16 217 1
16 236 1
16 238 1
16 259 1
16 282 1
16 330 1
16 332 1
16 377 1
16 384 1
16 386 1
16 433 1
16 437 1
16 447 1
16 551 1
16 567 1
16 582 1
16 603 1
16 674 1
16 689 1
16 695 1
16 757 1
16 953 1
16 1023 1
16 1060 1
16 1109 1
16 1140 1
16 1181 1
16 1254 1
16 1264 1
16 1377 1
16 1426 1
16 1531 1
16 1543 1
16 1631 1
16 1658 1
16 2005 1
16 2127 1
16 2250 1
16 2497 1
16 2541 1
16 2553 1
16 2610 1
16 2702 1
16 2747 1
16 2768 1
16 2883 1
17 22 1
17 34 1
17 44 1
17 50 1
17 69 1
17 97 1
17 114 1
17 147 1
17 149 1
17 152 1
17 168 1
17 203 1
17 220 1
17 247 1
17 318 1
17 326 1
17 385 1
17 392 1
17 429 1
17 479 1
17 507 1
17 510 1
17 516 1
17 566 1
17 577 1
17 586 1
17 589 1
17 631 1
17 667 1
17 746 1
17 798 1
17 988 1
17 1014 1
17 1108 1
17 1273 1
17 1366 1
17 1375 1
17 1380 1
17 1445 1
17 1461 1
17 1532 1
17 1546 1
17 1692 1
17 1755 1
17 1781 1
17 1909 1
17 1928 1
17 2049 1
17 2291 1
17 2352 1
17 2659 1
17 2772 1
17 2775 1
17 2786 1
17 2958 1
18 39 1
18 47 1
18 53 1
18 148 1
18 347 1
18 483 1
18 571 1
18 613 1
18 933 1
18 976 1
18 1676 1
18 1783 1
18 1786 1
18 2140 1
18 2192 1
18 2231 1
18 2467 1
18 2932 1
18 2973 1
19 52 1
19 55 1
19 112 1
19 162 1
19 168 1
19 479 1
19 599 1
19 606 1
19 995 1
19 1015 1
19 1151 1
19 1781 1
19 2130 1
19 2196 1
19 2296 1
19 2454 1
20 25 1
20 154 1
20 173 1
20 237 1
20 265 1
20 584 1
20 765 1
20 1563 1
20 2428 1
20 2740 1
21 166 1
21 169 1
21 393 1
21 565 1
21 902 1
21 1109 1
21 1115 1
21 1214 1
21 1244 1
21 1419 1
21 1683 1
21 1695 1
21 2056 1
21 2195 1
21 2275 1
21 2482 1
21 2509 1
21 2629 1
21 2719 1
22 26 1
22 35 1
22 76 1
22 437 1
22 771 1
22 1269 1
22 1661 1
22 1952 1
22 2296 1
22 2419 1
22 2586 1
22 2687 1
23 43 1
23 77 1
23 152 1
23 153 1
23 158 1
23 159 1
23 175 1
23 346 1
23 618 1
23 1010 1
23 1122 1
23 1241 1
23 1410 1
23 1842 1
23 1944 1
23 2079 1
23 2168 1
23 2389 1
23 2548 1
23 2557 1
23 2889 1
24 669 1
24 1581 1
24 2737 1
25 28 1
25 36 1
25 73 1
25 135 1
25 580 1
25 890 1
25 1397 1
25 1908 1
25 2032 1
25 2042 1
25 2670 1
26 36 1
26 136 1
26 191 1
26 194 1
26 222 1
26 256 1
26 281 1
26 336 1
26 380 1
26 449 1
26 679 1
26 728 1
26 811 1
26 1434 1
26 1529 1
26 1744 1
26 1758 1
26 1765 1
26 2483 1
26 2501 1
26 2686 1
26 2924 1
27 30 1
27 65 1
27 66 1
27 85 1
27 92 1
27 110 1
27 129 1
27 172 1
27 261 1
27 292 1
27 296 1
27 523 1
27 528 1
27 576 1
27 614 1
27 664 1
27 861 1
27 994 1
27 1045 1
27 1117 1
27 1244 1
27 1323 1
27 1814 1
27 1834 1
27 1906 1
27 1962 1
27 2050 1
27 2122 1
27 2230 1
27 2251 1
27 2396 1
27 2548 1
27 2611 1
27 2643 1
27 2812 1
27 2821 1
27 2823 1
27 2893 1
28 45 1
28 57 1
28 91 1
28 93 1
28 107 1
28 120 1
28 165 1
28 169 1
28 289 1
28 291 1
28 295 1
28 335 1
28 375 1
28 379 1
28 455 1
28 512 1
28 527 1
28 540 1
28 641 1
28 713 1
28 742 1
28 789 1
28 809 1
28 919 1
28 1089 1
28 1631 1
28 1663 1
28 1698 1
28 1810 1
28 1876 1
28 1907 1
28 2147 1
28 2252 1
28 2262 1
28 2311 1
28 2605 1
28 2887 1
28 2917 1
28 2928 1
28 2963 1
29 181 1
29 343 1
29 559 1
29 748 1
29 1022 1
29 1694 1
29 1910 1
29 2960 1
30 32 1
30 225 1
30 246 1
30 282 1
30 438 1
30 627 1
30 870 1
30 986 1
30 1162 1
30 1751 1
30 1851 1
30 2033 1
30 2120 1
30 2514 1
30 2562 1
30 2708 1
31 99 1
31 200 1
31 966 1
31 1255 1
31 1434 1
32 40 1
32 56 1
32 57 1
32 182 1
32 243 1
32 251 1
32 283 1
32 444 1
32 516 1
32 539 1
32 580 1
32 585 1
32 593 1
32 650 1
32 750 1
32 833 1
32 860 1
32 862 1
32 863 1
32 945 1
32 968 1
32 1026 1
32 1258 1
32 1274 1
32 1275 1
32 1381 1
32 1557 1
32 1695 1
32 1954 1
32 2001 1
32 2423 1
32 2561 1
32 2943 1
32 2945 1
32 2961 1
33 82 1
33 83 1
33 156 1
33 467 1
33 475 1
33 495 1
33 596 1
33 908 1
33 946 1
33 981 1
33 1118 1
33 1324 1
33 1577 1
33 2315 1
33 2653 1
33 2744 1
34 49 1
34 60 1
34 98 1
34 128 1
34 189 1
34 233 1
34 314 1
34 542 1
34 666 1
34 698 1
34 726 1
34 731 1
34 874 1
34 948 1
34 1296 1
34 1460 1
34 1553 1
34 2080 1
34 2205 1
34 2218 1
34 2447 1
35 59 1
35 205 1
35 311 1
36 72 1
36 90 1
36 164 1
36 172 1
36 312 1
36 334 1
36 416 1
36 529 1
36 604 1
36 645 1
36 658 1
36 762 1
36 767 1
36 838 1
36 1006 1
36 1192 1
36 1414 1
36 1419 1
36 1440 1
36 1452 1
36 1456 1
36 1670 1
36 1920 1
36 1970 1
36 2152 1
36 2281 1
36 2380 1
36 2974 1
37 2233 1
38 42 1
38 54 1
38 82 1
38 109 1
38 131 1
38 260 1
38 431 1
38 470 1
38 514 1
38 1720 1
38 2968 1
39 495 1
39 513 1
39 534 1
39 544 1
39 579 1
39 1470 1
40 71 1
40 204 1
40 223 1
40 249 1
40 293 1
40 451 1
40 526 1
40 567 1
40 760 1
40 868 1
40 1001 1
40 2150 1
40 2209 1
40 2472 1
40 2906 1
41 362 1
41 397 1
41 847 1
41 914 1
41 1191 1
41 2686 1
41 2865 1
42 94 1
42 145 1
42 184 1
42 214 1
42 304 1
42 975 1
42 1790 1
42 2165 1
42 2353 1
42 2793 1
42 2853 1
43 224 1
43 509 1
43 675 1
43 739 1
43 883 1
43 2416 1
44 49 1
44 81 1
44 215 1
44 230 1
44 284 1
44 310 1
44 341 1
44 349 1
44 472 1
44 611 1
44 647 1
44 674 1
44 817 1
44 829 1
44 851 1
44 874 1
44 1223 1
44 1284 1
44 1607 1
44 1659 1
44 1770 1
44 1877 1
44 2127 1
44 2279 1
44 2567 1
44 2604 1
44 2765 1
45 137 1
45 332 1
45 333 1
45 536 1
45 858 1
45 917 1
46 64 1
46 70 1
46 400 1
46 456 1
46 704 1
46 729 1
46 878 1
