3000 4500
1213 2213 1
1213 2555 1
1213 2440 1
2213 1051 1
2213 1938 1
1758 2013 1
1758 504 1
1758 783 1
2013 855 1
2013 1779 1
254 824 1
254 2801 1
254 1844 1
824 1788 1
824 2978 1
2549 2808 1
2549 1152 1
2549 2282 1
2808 2596 1
2808 1715 1
415 2764 1
415 2208 1
415 446 1
2764 1799 1
2764 1893 1
2575 2680 1
2575 1553 1
2575 1559 1
2680 2166 1
2680 2180 1
630 2423 1
630 2995 1
630 1702 1
2423 1244 1
2423 1676 1
2131 2789 1
2131 2435 1
2131 1444 1
2789 2023 1
2789 371 1
1261 2146 1
1261 211 1
1261 1605 1
2146 1766 1
2146 450 1
2027 2094 1
2027 2887 1
2027 2673 1
2094 1492 1
2094 261 1
1046 2895 1
1046 739 1
1046 1355 1
2895 1841 1
2895 139 1
262 2261 1
262 690 1
262 1939 1
2261 2461 1
2261 891 1
450 1000 1
450 1737 1
1000 1804 1
1000 472 1
1894 2961 1
1894 121 1
1894 2481 1
2961 2170 1
2961 1912 1
911 2298 1
911 2148 1
911 2461 1
2298 348 1
2298 1783 1
1355 2009 1
1355 2136 1
2009 1234 1
2009 2365 1
743 2305 1
743 917 1
743 2049 1
2305 1055 1
2305 26 1
675 1118 1
675 2633 1
675 2791 1
1118 1185 1
1118 769 1
89 1552 1
89 1038 1
89 467 1
1552 1911 1
1552 655 1
939 1722 1
939 833 1
939 1686 1
1722 1277 1
1722 1964 1
247 2892 1
247 425 1
247 2648 1
2892 1534 1
2892 2032 1
2223 2499 1
2223 1150 1
2223 2621 1
2499 944 1
2499 1149 1
901 1430 1
901 800 1
901 997 1
1430 2425 1
1430 191 1
2556 2559 1
2556 2407 1
2556 2854 1
2559 2259 1
2559 1468 1
1421 2814 1
1421 485 1
1421 1442 1
2814 1233 1
2814 860 1
818 1432 1
818 1278 1
818 808 1
1432 1934 1
1432 2245 1
1076 1956 1
1076 2472 1
1076 2923 1
1956 2540 1
1956 2519 1
475 1358 1
475 1326 1
475 2003 1
1358 803 1
1358 1278 1
355 2345 1
355 1710 1
355 2485 1
2345 1955 1
2345 692 1
576 2164 1
576 2222 1
576 2079 1
2164 1212 1
2164 1538 1
1591 1913 1
1591 2830 1
1591 2548 1
1913 2735 1
1913 1682 1
117 338 1
117 2787 1
117 1217 1
338 233 1
338 292 1
1150 1533 1
1150 2380 1
1533 2970 1
1533 2507 1
1652 2417 1
1652 359 1
1652 736 1
2417 2196 1
2417 1967 1
1403 2207 1
1403 2107 1
1403 131 1
2207 574 1
2207 2600 1
2015 2060 1
2015 807 1
2015 876 1
2060 2984 1
2060 324 1
656 2687 1
656 2768 1
656 291 1
2687 1818 1
2687 934 1
377 1811 1
377 1437 1
377 238 1
1811 1271 1
1811 495 1
2036 2528 1
2036 192 1
2036 11 1
2528 1086 1
2528 1106 1
422 1962 1
422 544 1
422 1424 1
1962 1963 1
1962 1475 1
1488 2022 1
1488 2652 1
1488 1823 1
2022 386 1
2022 2769 1
1939 2861 1
1939 110 1
2861 1718 1
2861 1233 1
365 1162 1
365 130 1
365 1216 1
1162 923 1
1162 271 1
360 1987 1
360 2338 1
360 2900 1
1987 1484 1
1987 416 1
1422 2714 1
1422 1935 1
1422 842 1
2714 2035 1
2714 2520 1
737 1479 1
737 1145 1
737 572 1
1479 719 1
1479 1989 1
430 1328 1
430 2893 1
430 1039 1
1328 793 1
1328 582 1
2039 2948 1
2039 2315 1
2039 1666 1
2948 904 1
2948 1291 1
444 1083 1
444 1044 1
444 2901 1
1083 865 1
1083 823 1
714 2893 1
714 462 1
714 1468 1
2893 949 1
617 1154 1
617 2765 1
617 557 1
1154 150 1
1154 1232 1
1215 1863 1
1215 536 1
1215 781 1
1863 1979 1
1863 1782 1
1708 2290 1
1708 731 1
1708 217 1
2290 2591 1
2290 163 1
1223 2541 1
1223 1792 1
1223 225 1
2541 1047 1
2541 465 1
1260 2917 1
1260 2301 1
1260 1901 1
2917 2725 1
2917 2557 1
569 2920 1
569 2072 1
569 1240 1
2920 2987 1
2920 2186 1
792 2583 1
792 336 1
792 538 1
2583 2743 1
2583 21 1
2569 2884 1
2569 1522 1
2569 1584 1
2884 25 1
2884 1541 1
1098 2101 1
1098 2416 1
1098 531 1
2101 1936 1
2101 970 1
946 2641 1
946 1609 1
946 1972 1
2641 2879 1
2641 1027 1
1202 2338 1
1202 1889 1
1202 2896 1
2338 376 1
958 1941 1
958 2224 1
958 1586 1
1941 819 1
1941 1896 1
425 163 1
425 2579 1
330 1097 1
330 887 1
330 2264 1
1097 1393 1
1097 661 1
607 817 1
607 1876 1
607 704 1
817 1262 1
817 2572 1
1984 2639 1
1984 1624 1
1984 673 1
2639 519 1
2639 468 1
1632 2825 1
1632 152 1
1632 2620 1
2825 2979 1
2825 554 1
674 2447 1
674 1125 1
674 2109 1
2447 1716 1
2447 1520 1
299 1109 1
299 1049 1
299 2562 1
1109 33 1
1109 523 1
288 2906 1
288 528 1
288 2599 1
2906 757 1
2906 1431 1
2068 2309 1
2068 2700 1
2068 2904 1
2309 304 1
2309 2554 1
38 1599 1
38 2397 1
38 186 1
1599 1662 1
1599 146 1
113 1513 1
113 2715 1
113 921 1
1513 2957 1
1513 2803 1
2251 2839 1
2251 524 1
2251 1382 1
2839 2454 1
2839 2671 1
2352 2513 1
2352 1248 1
2352 629 1
2513 1401 1
2513 2535 1
